Control1 Control2 Control3 Treatment1 Treatment2 Treatment3
245078_at 660.75933402419 768.507476457055 417.200538831250 706.858973637765 643.516695210516 607.069093674586
245079_at 120.628975542201 13.9881072759471 31.6078801443431 49.2991453878369 118.816016713831 163.462836071681
245080_at 326.098950125167 247.051970562865 68.4714705277898 302.436180024982 240.085781480511 170.272413794966
245081_at 111.950709240290 19.5837627964043 113.539766605547 133.365188712798 55.8793152910285 11.5260225768010
245082_at 346.811858300294 266.831374448087 237.876962192585 280.332921364997 20.2218979009379 38.0221778035338
245083_at 834.758721224725 975.640867847763 792.292010886364 1069.25639767369 952.200520765084 1134.15499993040
245084_at 318.930785631226 390.750338678681 770.290136962893 402.469800052565 213.508329245399 235.443407708445
245085_at 1381.89277091857 1373.73867698224 1574.38033320118 918.640221230617 1913.25481059568 1417.74949931018
245086_at 10.2803215657750 42.2537540907828 171.104644951201 13.7594136579340 5.09862474869402 142.642642373939
245087_at 188.391967341982 330.617635722096 525.48256291803 217.650616604307 201.295372274313 224.785308122511
245088_at 32.4259655448263 17.2355906504798 28.8337959180578 48.8329803930039 8.45970115469059 26.6837900124465
245089_at 404.796315761678 478.77024684787 634.904222839335 142.487363294771 422.814887152841 182.745193330908
245090_at 1384.77230102520 1170.21360588782 1194.67906743048 1391.61192911392 1676.31586484684 1703.55321032675
245091_at 9.78873322144173 14.6751906119742 14.2644650204013 38.6114170382272 43.423888220544 136.255644767163
245092_at 366.807943260598 363.005654212252 414.254175171717 277.936105012325 202.168504034948 509.200350033835
245093_at 232.165800124145 230.157557236033 38.2394219592795 215.040101262566 180.533928043317 251.000576141435
245094_at 810.898557730594 1020.84716516729 866.275889429959 1138.77446413748 751.563600077177 784.306417422334
245095_at 154.662792009493 190.481636823398 31.2953777755292 12.3145146593341 148.817090970666 183.475292391762
245096_at 679.378055031372 462.251935689586 249.563454670744 654.265245399769 629.126941731375 357.077453081895
245097_at 497.396456049422 295.324191686065 578.847648377355 630.830721081996 478.140870399266 554.644046752131
245098_at 1760.11695360258 2064.94010250131 1973.91568320174 1736.90382500522 1274.18143954944 2151.75428334753
245099_at 680.286102443911 1123.16411081247 1051.39703031638 1014.75859808672 732.319029849359 926.496358635934
245100_at 693.07192276376 662.20576751273 418.108438219825 448.524650937141 588.108029356347 534.155192625409
245101_at 1927.89466897263 1772.71270141345 2613.62952244117 1343.83697885619 1678.93889129123 1263.42310549993
245102_at 4.63023081215149 83.4834615521636 143.201241635351 203.836473436109 17.2600131099374 11.7018522442282
245103_at 8.71951283146245 8.1647648447834 128.042491984018 16.865261935133 11.8443431959244 15.5392563569806
245104_at 473.52917015809 612.294825592956 411.631864716551 216.558959629961 576.227802126828 620.135211064275
245105_at 72.5269551242163 185.983378863523 48.3675281385897 232.748239141410 65.9408936492303 52.9844409041456
245106_at 696.511678640162 500.221184176676 869.181548149838 561.45085380236 904.534342342889 654.292177922255
245107_at 134.626265703550 129.018405545235 61.7187540123657 142.477924955813 118.069471824138 8.33926970043887
245108_at 11.3027170885085 18.82034941096 72.0443711980062 11.6425310530343 8.0245602951911 60.9261372964644
245109_at 144.216469255198 222.787827656228 307.947741728045 242.538833161266 218.144559794512 146.869594962446
245110_at 193.340960135204 241.587769390000 388.363436940734 32.9682435774455 121.225645679046 147.4746117232
245111_at 34.5835390248664 157.567865503056 129.858684081186 188.902250168055 8.36590157712284 148.365034209305
245112_at 1292.71897968781 1267.44857405969 1222.38725005092 759.566944808777 1069.84947726781 882.945803575342
245113_at 249.285063458053 268.086477868343 49.7052460238428 159.754951942799 338.513174320092 363.308547265873
245114_at 1111.53309451471 947.317300821056 808.045396167285 1027.71706168207 943.475353777809 1096.71435898101
245115_at 2334.17794117979 1831.58830431201 2099.95504478958 1709.37545102024 2313.45799715661 2198.45172678982
245116_at 1206.76694205310 1149.33209083869 910.008816212616 1035.28446016305 913.706535231492 961.219044012016
245117_at 327.599331461509 371.922356407593 458.382140046466 1020.86636131529 679.811423734175 765.215753009795
245118_at 457.790327707666 368.939050163196 747.616273501407 913.919041998944 612.5989585433 593.03133378036
245119_at 441.483420363166 413.385111036163 56.1008176519334 557.022373359013 309.286783151337 487.410157117173
245120_at 341.824668243477 245.090436147312 793.112486333518 543.103032402253 419.59936153001 451.555184889694
245121_at 8327.27429626316 8109.87405025872 8808.77717486813 6831.22287211113 8989.66391883178 7685.21395670642
245122_at 956.842576263224 470.666190205439 837.102903380825 789.047718085477 930.448486818502 786.214265801904
245123_at 237.736512702831 209.488137023063 219.390099650497 304.811012279783 133.899572966939 337.655113422351
245124_at 613.647789159322 482.741352182588 1061.59839341587 435.793271222297 691.27122662454 680.68710103821
245125_at 14.5422935891422 74.1883260133043 18.1058709055391 17.0639376984689 23.0485789166948 13.0809941013671
245126_at 488.355546958653 518.900770316516 521.428366255483 280.317316499649 396.522856310504 401.078735494324
245127_at 640.134482946669 620.378240165041 503.684337477257 508.358303036417 595.786872007334 503.021298103754
245128_at 18.4662960818846 147.961581730438 17.5946269101381 16.4368151459567 21.8221838674617 89.7530919307385
245129_at 15.4457757104653 243.330619685777 44.6634691178578 122.279124238467 4.62495162204457 65.9826614597038
